epoch:12, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:12, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:13, i:0, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:1, targets:torch.Size([73, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:2, targets:torch.Size([78, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:3, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:4, targets:torch.Size([66, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:5, targets:torch.Size([70, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:6, targets:torch.Size([31, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:7, targets:torch.Size([16, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:8, targets:torch.Size([24, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:9, targets:torch.Size([61, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:13, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:14, i:0, targets:torch.Size([75, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:1, targets:torch.Size([77, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:2, targets:torch.Size([72, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:3, targets:torch.Size([79, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:4, targets:torch.Size([76, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:5, targets:torch.Size([72, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:6, targets:torch.Size([29, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:7, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:8, targets:torch.Size([28, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:9, targets:torch.Size([59, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:10, targets:torch.Size([15, 6]), imgs:torch.Size([16, 4, 640, 640])
epoch:14, i:11, targets:torch.Size([3, 6]), imgs:torch.Size([4, 4, 640, 640])
epoch:15, i:0, targets:torch.Size([73, 6]), imgs:torch.Size([16, 4, 640, 640])
